Virginia Polytechnic Institute & State University,VT,Top Ten Football plays,Football,Highlights,touchdown,ACC,<iframe width='560' height='315' src='http://www.youtube.com/embed/zTHTkePQ5R8' frameborder='0' allowfullscreen></iframe>,www.vt.edu,www.hokiesports.com,M,VA,HOKIES
Virginia Polytechnic Institute & State University,VT,Season Highlights,Soccer,Highlights,Soccer,ACC,<iframe width='560' height='315' src='http://www.youtube.com/embed/PfCp7BupBZY' frameborder='0' allowfullscreen></iframe>,www.vt.edu,www.hokiesports.com,W,VA,HOKIES
,,,,,,,,,,,,
Virginia State University,VSU,Ian Brown's Highlights,Football,Highlights,,,<iframe width='420' height='315' src='http://www.youtube.com/embed/VcbSuTiDkwY' frameborder='0' allowfullscreen></iframe>,www.vsu.edu,www.vsu.edu/athletics,M,VA,TROJANS
Virginia State University,VSU,VSU's Cheer squad,Cheer,Dance,,,<iframe width='560' height='315' src='http://www.youtube.com/embed/5DZ1I-w2cAA' frameborder='0' allowfullscreen></iframe>,www.vsu.edu,www.vsu.edu/athletics,W,VA,TROJANS
,,,,,,,,,,,,
Virginia Union University,VUU,Marq Johnson,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/qr_1JZ8efqc' frameborder='0' allowfullscreen></iframe>,www.vuu.edu,www.vuusports.com,M,VA,PANTHERS
Virginia Union University,VUU,VUU Beats VCU,Basketball,Highlights,Basketball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/qr_1JZ8efqc' frameborder='0' allowfullscreen></iframe>,www.vuu.edu,www.vuusports.com,W,VA,PANTHERS
,,,,,,,,,,,,
Virginia Wesleyan College,VWC,2011 Season Highlights,Lacrosse,Highlights,Lacrosse,,<iframe width='560' height='315' src='http://www.youtube.com/embed/nk62pOnVVHU' frameborder='0' allowfullscreen></iframe>,www.vwc.edu,www.vwcathletics.com,M,VA,MARLINS
Virginia Wesleyan College,VWC,2012 Season Highlights,Soccer,Highlights,Soccer,,<iframe width='560' height='315' src='http://www.youtube.com/embed/OU6N7mkI08c' frameborder='0' allowfullscreen></iframe>,www.vwc.edu,www.vwcathletics.com,W,VA,MARLINS
,,,,,,,,,,,,
Viterbo University,VU,VU vs Mt Mercy Highlights,Baseball,Highlights,baseball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/Z-Q_QA_AUso' frameborder='0' allowfullscreen></iframe>,www.viterbo.edu,www.viterboathletics.com,M,WI,HAWKS
Viterbo University,VU,VU vs The Masters,Volleyball,Highlights,Volleyball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/lcsGAtT66m4?list=UUeyBJF1JiJ5-DYiVM4DpMTQ' frameborder='0' allowfullscreen></iframe>,www.viterbo.edu,www.viterboathletics.com,W,WI,HAWKS
,,,,,,,,,,,,
Wabash College,WC,Wabash beats Ohio Wesleyan,Basketball,Highlights,Basketball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/lcsGAtT66m4?list=UUeyBJF1JiJ5-DYiVM4DpMTQ' frameborder='0' allowfullscreen></iframe>,www.wasbash.edu,www.wabash.edu/sports,M,IN,LITTLE GIANTS
Wabash College,WC,Wabash Basketball vs. Oberlin College Highlights,Basketball,Highlights,mixes,2012,<iframe width='560' height='315' src='//www.youtube.com/embed/NnVgRqJVW54' frameborder='0' allowfullscreen></iframe>,www.wasbash.edu,www.wabash.edu/sports,M,IN,
,,,,,,,,,,,,
Wagner College,WC,Wagner vs Georgetown,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/HtTvis6Frv8' frameborder='0' allowfullscreen></iframe>,www.wagner.edu,www.wagnerathletics.com,M,NY,SEAHAWKS
Wagner College,WC,Wagner vs Fairleigh Dickinson,Basketball,Highlights,Basketball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/MjUckdNvsgs' frameborder='0' allowfullscreen></iframe>,www.wagner.edu,www.wagnerathletics.com,W,NY,SEAHAWKS
,,,,,,,,,,,,
Wake Forest University,WFU,Mens Basketball  Highlights,Basketball,Highlights,Basketball,ACC,<iframe width='560' height='315' src='http://www.youtube.com/embed/srv5exxkyGA' frameborder='0' allowfullscreen></iframe>,www.wfu.edu,www.wakeforestsports.com,M,NC,DEMON DEACONS
Wake Forest University,WFU,Womens Soccer,Soccer,Highlights,Soccer,ACC,<iframe width='560' height='315' src='http://www.youtube.com/embed/pVgCloEKwCY?list=PLsgQMnV2gow47e48QD2nrhavhiJbr2ptP' frameborder='0' allowfullscreen></iframe>,www.wfu.edu,www.wakeforestsports.com,W,NC,DEMON DEACONS
,,,,,,,,,,,,
Waldorf College,WC,2012 to 2013 Football Season Highlights,Football,Highlights,mixes,,<iframe width='560' height='315' src='//www.youtube.com/embed/gJYPsl0hEHs' frameborder='0' allowfullscreen></iframe>,www.waldorf.edu,www.waldorfwarriors.com,M,IA,WARRIORS
Waldorf College,WC,Womens Track Highlights,Track,Highlights,Track & Field,,<iframe width='420' height='315' src='//www.youtube.com/embed/VgssCnYx_Js' frameborder='0' allowfullscreen></iframe>,www.waldorf.edu,www.waldorfwarriors.com,W,IA,WARRIORS
,,,,,,,,,,,,
Walla Walla University,WWU,Tristan Greenidge's Highlights,Basketball,Highlights,Basketball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/_neoSrtZ-IQ' frameborder='0' allowfullscreen></iframe>,www.wallawalla.edu,www.wallawalla.edu/life-at-wwu/athletics,M,WA,WOLVES
Walla Walla University,WWU,Athletic Dept Mix,Basketball,Highlights,Basketball,Soccer,<iframe width='560' height='315' src='//www.youtube.com/embed/380Mu8hgiM4' frameborder='0' allowfullscreen></iframe>,www.wallawalla.edu,www.wallawalla.edu/life-at-wwu/athletics,M,WA,LADY WOLVES
,,,,,,,,,,,,
Walsh University,WU,Walsh Football Highlights,Football,Highlights,Football,,<iframe width='420' height='315' src='//www.youtube.com/embed/bEND2Cmaz0E' frameborder='0' allowfullscreen></iframe>,www.walsh.edu,www.walsh.edu/walsh-athletics,M,OH,CAVALIERS
Walsh University,WU,Walsh vs Black Hills State Highlights,Basketball,Highlights,Basketball,,<iframe width='560' height='315' src='//www.youtube.com/embed/aIKDqzKtKxI' frameborder='0' allowfullscreen></iframe>,www.walsh.edu,www.walsh.edu/walsh-athletics,W,OH,CAVALIERS
,,,,,,,,,,,,
Warner University,WU,Game winning shot,Basketball,Highlights,Basketball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/_41aAO-bm0o' frameborder='0' allowfullscreen></iframe>,www.warner.edu,www.warnerroyals.com,M,FL,ROYALS
Warner University,WU,,,,,,,www.warner.edu,www.warnerroyals.com,W,FL,ROYALS
,,,,,,,,,,,,
Wartburg College,WC,Wartburg vs BVU Highlights,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/FdstS4iMbJM' frameborder='0' allowfullscreen></iframe>,www.wartburg.edu,www.go-knights.net,M,IA,KNIGHTS
Wartburg College,WC,Wartburg vs Luther Highlights,Basketball,Highlights,Basketball,,<iframe width='420' height='315' src='http://www.youtube.com/embed/7rq9V46YxM8' frameborder='0' allowfullscreen></iframe>,www.wartburg.edu,www.go-knights.net,W,IA,KNIGHTS
,,,,,,,,,,,,
Washburn University,WU,Washburn vs Nebraska-Kearny Highlights,Football,Highlights,Football,,<iframe width='420' height='315' src='http://www.youtube.com/embed/7rq9V46YxM8' frameborder='0' allowfullscreen></iframe>,www.washburn.edu,www.wusports.com,M,KS,ICHABODS
Washburn University,WU,Washburn vs Emporia Highlights,Volleyball,Highlights,Basketball,,<iframe width='420' height='315' src='http://www.youtube.com/embed/7rq9V46YxM8' frameborder='0' allowfullscreen></iframe>,www.washburn.edu,www.wusports.com,W,KS,LADY BLUES
,,,,,,,,,,,,
Washington Adventist University,WAU,,,,,,,www.wau.edu,www.wauathletics.com,M,MD,SHOCK
Washington Adventist University,WAU,,,,,,,www.wau.edu,www.wauathletics.com,W,MD,SHOCK
,,,,,,,,,,,,
Washington and Jefferson College,WJC,W&J VS Waynesburg Highlights,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/UxAVZXyR7gI' frameborder='0' allowfullscreen></iframe>,www.washjeff.edu,www.washjeff.edu/athletics,M,PA,PRESIDENTS
Washington and Jefferson College,WJC,Mens and Womens Tennis Highlights,Tennis,Highlights,Tennis,,<iframe width='560' height='315' src='http://www.youtube.com/embed/Fp4ntEzAbiA' frameborder='0' allowfullscreen></iframe>,www.washjeff.edu,www.washjeff.edu/athletics,W,PA,PRESIDENTS
,,,,,,,,,,,,
Washington and Lee University,WLU,W&L VS CNU Highlights,Lacrosse,Highlights,Lacrosse,,<iframe width='560' height='315' src='http://www.youtube.com/embed/v2nQaU4WcDQ' frameborder='0' allowfullscreen></iframe>,www.wlu.edu,www.generalsports.com,M,VA,GENERALS
Washington and Lee University,WLU,W&L vs HSC Highlights,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/KRnYsXOA0KQ' frameborder='0' allowfullscreen></iframe>,www.wlu.edu,www.generalsports.com,W,VA,GENERALS
,,,,,,,,,,,,
Washington College,WC,WC vs W&L Highlights,Lacrosse,Highlights,Lacrosse,,<iframe width='560' height='315' src='http://www.youtube.com/embed/DrABvFdWgeo' frameborder='0' allowfullscreen></iframe>,www.washcoll.edu,www.washingtoncollegesports.com,M,MD,SHOREMEN
Washington College,WC,WC vs Ursinus Highlights,Tennis,Highlights,Tennis,,<iframe width='560' height='315' src='http://www.youtube.com/embed/SWTy-rXkSaw' frameborder='0' allowfullscreen></iframe>,www.washcoll.edu,www.washingtoncollegesports.com,W,MD,SHOREMEN
,,,,,,,,,,,,
Washington State University,WSU,WSU Football 2011 Highlights,Football,Highlights,Football,Pac12,<iframe width='560' height='315' src='http://www.youtube.com/embed/GJjVXbZjl1M' frameborder='0' allowfullscreen></iframe>,www.wsu.edu,www.wsucougars.com,M,WA,COUGARS
Washington State University,WSU,WSU vs SFU Highlights,Basketball,Highlights,Basketball,Pac12,<iframe width='560' height='315' src='http://www.youtube.com/embed/V2jJjROI6aI' frameborder='0' allowfullscreen></iframe>,www.wsu.edu,www.wsucougars.com,W,WA,COUGARS
,,,,,,,,,,,,
Washington University,WU,Washington U vs Chicago Highlights,Basketball,Highlights,Basketball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/OaOZLB2Ea5w' frameborder='0' allowfullscreen></iframe>,www.wustl.edu,www.bearsports.wustl.edu,M,MO,BEARS
Washington University,WU,Washington U vs Emory Highlights,Volleyball,Highlights,Volleyball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/1mNs8cPfE4Y' frameborder='0' allowfullscreen></iframe>,www.wustl.edu,www.bearsports.wustl.edu,W,MO,BEARS
,,,,,,,,,,,,
Wayland Baptist University,WBU,Highlights from the new programs 1st game,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/Nl41kqvneKU' frameborder='0' allowfullscreen></iframe>,www.wbu.edu,www.wbuathletics.com,M,TX,PIONEERS
Wayland Baptist University,WBU,Wayland U vs Lubbock Christian Highlights,Volleyball,Highlights,Volleyball,,<iframe width='420' height='315' src='http://www.youtube.com/embed/f3tFKuN07JQ' frameborder='0' allowfullscreen></iframe>,www.wbu.edu,www.wbuathletics.com,W,TX,PIONEERS
,,,,,,,,,,,,
Wayne State College,WSC,Wayne State College vs Southwest Minnesota State Highlights,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/hidr_v3MINE' frameborder='0' allowfullscreen></iframe>,www.wsc.edu,www.wscwildcats.com,M,NE,WILDCATS
Wayne State College,WSC,Wayne State College Rugby Highlights,Rugby,Highlights,Rugby,,<iframe width='560' height='315' src='http://www.youtube.com/embed/VIEr45dR0As?list=PLF3D26A44C693B290' frameborder='0' allowfullscreen></iframe>,www.wsc.edu,www.wscwildcats.com,W,NE,WILDCATS
,,,,,,,,,,,,
Wayne State University,WSU,Wayne State U vs Ferris State Highlights,Football,Highlights,Football,,<iframe width='560' height='315' src='http://www.youtube.com/embed/s8Kxzx2tARo' frameborder='0' allowfullscreen></iframe>,www.wayne.edu,www.wsuathletics.com,M,MI,WARRIORS
Wayne State University,WSU,Wayne State U vs Saginaw Valley State Highlights,Volleyball,Highlights,volleyball,,<iframe width='560' height='315' src='http://www.youtube.com/embed/_Oq5Ys2kfyY' frameborder='0' allowfullscreen></iframe>,www.wayne.edu,www.wsuathletics.com,W,MI,WARRIORS
,,,,,,,,,,,,
Waynesburg University,WU,Waynesburg Football Highlights,Football,Highlights,Football,,<iframe width='420' height='315' src='http://www.youtube.com/embed/_daLtiMInvk' frameborder='0' allowfullscreen></iframe>,www.waynesburg.edu,www.waynesburgsports.com,M,PA,YELLOW JACKETS
