Miller makes a nice stop,Buffalo Sabres,Saves,Sabres,Bruins,NHL.com,Ryan Miller,,Buffalo,BUF,NY,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8468011&event=BOS410&server=http://video.sabres.nhl.com/videocenter/&pageurl=http://video.sabres.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8468011&event=BOS410&server=http://video.sabres.nhl.com/videocenter/&pageurl=http://video.sabres.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Stafford and Hartnell go at it,Buffalo Sabres,Fights,Sabres,Flyers,Youtube,,,Buffalo,BUF,NY,<iframe width='235' height='132' src='//www.youtube.com/embed/D2zsMwCMoMk' frameborder='0' allowfullscreen></iframe>
Backlund scores of a deflection,Calgary Flames,Goals,Flames,Wild,NHL.com,Mikael Backlund,,Calgary,Alberta,Canada,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8474150&event=MIN403&server=http://video.flames.nhl.com/videocenter/&pageurl=http://video.flames.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8474150&event=MIN403&server=http://video.flames.nhl.com/videocenter/&pageurl=http://video.flames.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Kiprusoff lays down the hit,Calgary Flames,Hits,Flames,Red Wings,NHL.com,Miikka Kiprusoff,,Calgary,Alberta,Canada,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,642&event=CGY19&server=http://video.flames.nhl.com/videocenter/&pageurl=http://video.flames.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,642&event=CGY19&server=http://video.flames.nhl.com/videocenter/&pageurl=http://video.flames.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
MacDonald makes a nice stop,Calgary Flames,Saves,Flames,Coyotes,NHL.com,Joey MacDonald,,Calgary,Alberta,Canada,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8469732&event=CGY85&server=http://video.flames.nhl.com/videocenter/&pageurl=http://video.flames.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8469732&event=CGY85&server=http://video.flames.nhl.com/videocenter/&pageurl=http://video.flames.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
McGrattan and Bordeleau square off,Calgary Flames,Fights,Flames,Avalanche,Youtube,,,Calgary,Alberta,Canada,<iframe width='235' height='132' src='//www.youtube.com/embed/hdQhNAYLT-0' frameborder='0' allowfullscreen></iframe>
Harrison lays down the hit,Carolina Hurricanes,Hits,Hurricanes,Lightning,NHL.com,Jay Harrison,,Raleigh,,NC,"<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlg=20122013,2,669&event=T.B57&server=http://video.hurricanes.nhl.com/videocenter/&pageurl=http://video.hurricanes.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlg=20122013,2,669&event=T.B57&server=http://video.hurricanes.nhl.com/videocenter/&pageurl=http://video.hurricanes.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>"
Peters keeps it scoreless,Carolina Hurricanes,Saves,Hurricanes,Maple Leafs,NHL.com,Justin Peters,,Raleigh,,NC,<object width='235' height='141' id='embed' classid='clsid:d27cdb6e-ae6d-11cf-96b8-444553540000'><param name='movie' value='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' /><param name='quality' value='high' /><param name='allowFullScreen' value='true' /><param name='allowScriptAccess' value='always' /><param name='flashVars' value='hlp=8471251&event=TOR9&server=http://video.hurricanes.nhl.com/videocenter/&pageurl=http://video.hurricanes.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/' /><embed name='embed' pluginspage='http://www.adobe.com/go/getflashplayer' src='http://nhl.cdn.neulion.net/u/videocenter-v1/embed.swf' type='application/x-shockwave-flash' width='235' height='141' quality='high' allowFullScreen='true' allowScriptAccess='always' flashVars='hlp=8471251&event=TOR9&server=http://video.hurricanes.nhl.com/videocenter/&pageurl=http://video.hurricanes.nhl.com/videocenter/&nlwa=http://app2.neulion.com/videocenter/nhl/'></embed></object>
Westgarth and McLaren go at it,Carolina Hurricanes,Fights,Hurricanes,Maple Leafs,Youtube,,,Raleigh,,NC,<iframe width='235' height='132' src='//www.youtube.com/embed/cpE99QePbC4' frameborder='0' allowfullscreen></iframe>
Faulk and Weiss go at it,Carolina Hurricanes,Fights,Hurricanes,Panthers,Youtube,,,Raleigh,,NC,<iframe width='235' height='132' src='//www.youtube.com/embed/t_RehuOZrNI' frameborder='0' allowfullscreen></iframe>
